Galaxy identifier,Assumed distance (Mpc),Galactocentric radius (kpc),Galactocentric radius (m),Observed circular velocity (km/s),Observed circular velocity (m/s),Uncertainy in v obs (km/s),Gas velocity contribution (km/s),Gas velocity contribution (m/s),Disk velocity contribution (km/s),Disk velocity contribution (m/s),Bulge velocity contribution (km/s),Bulge velocity contribution (m/s),Disk surface brightness (solLum/pc2),Bulge surface brightness (solLum/pc2)
CamB,3.36,0.16,4.9376E+18,1.99,1990,1.5,1.86,1860,3.75,3750,0,0,30.32,0
CamB,3.36,0.41,1.26526E+19,4.84,4840,1.5,4.24,4240,9.47,9470,0,0,23.77,0
CamB,3.36,0.57,1.75902E+19,6.79,6790,1.5,5.61,5610,11.76,11760,0,0,15.87,0
CamB,3.36,0.73,2.25278E+19,8.87,8870,1.5,6.77,6770,13.72,13720,0,0,12.4,0
CamB,3.36,0.9,2.7774E+19,10.9,10900,1.5,7.77,7770,14.8,14800,0,0,9.63,0
CamB,3.36,1.06,3.27116E+19,12.9,12900,1.5,8.44,8440,15.24,15240,0,0,5.86,0
CamB,3.36,1.22,3.76492E+19,14.7,14700,1.5,8.64,8640,15.11,15110,0,0,5.19,0
CamB,3.36,1.47,4.53642E+19,16.8,16800,1.5,8.08,8080,15.9,15900,0,0,3.02,0
CamB,3.36,1.79,5.52394E+19,20.1,20100,1.5,6.91,6910,14.91,14910,0,0,0.88,0
D512-2,15.2,0.96,2.96256E+19,22.9,22900,2.71,4.08,4080,14.85,14850,0,0,16.45,0
D512-2,15.2,1.92,5.92512E+19,33.5,33500,2.71,6.24,6240,21.2,21200,0,0,7.4,0
D512-2,15.2,2.88,8.88768E+19,37.2,37200,4.19,7.45,7450,20.56,20560,0,0,2.72,0
D512-2,15.2,3.83,1.18194E+20,35.9,35900,5.98,8.09,8090,20.08,20080,0,0,1.79,0
D564-8,8.79,0.51,1.57386E+19,8.54,8540,1.53,3.47,3470,6.36,6360,0,0,6.37,0
D564-8,8.79,1.02,3.14772E+19,15.1,15100,1.41,5.33,5330,8.66,8660,0,0,2.82,0
